iter	RMSE
188	23544.48782
189	23532.40682
190	23521.54247
191	23501.71903
192	23484.40612
193	23477.4056
194	23468.30617
195	23447.40746
196	23436.5784
197	23412.11989
198	23390.84067
199	23380.20838
200	23367.62852
201	23357.14217
202	23344.03061
203	23335.75548
204	23327.18108
205	23316.49583
206	23305.04821
207	23279.86398
208	23272.56684
209	23263.20608
210	23254.6752
211	23247.27402
212	23233.67403
213	23218.68739
214	23212.77724
215	23197.74652
216	23190.86124
217	23184.94143
218	23167.01084
219	23154.67592
220	23146.58976
221	23134.94981
222	23128.41217
223	23120.73553
224	23116.01588
225	23099.19508
226	23094.21477
227	23071.70656
228	23064.66127
229	23058.09051
230	23047.15145
231	23047.09828
232	23031.89353
233	23022.53654
234	23008.12844
235	22981.24024
236	22958.15727
237	22952.45261
238	22920.86272
239	22898.36641
240	22876.5128
241	22867.93932
242	22855.00297
243	22842.64961
244	22836.19018
245	22823.54638
246	22810.46977
247	22793.34652
248	22787.71569
249	22777.02904
250	22772.98979
251	22766.71347
252	22757.3974
253	22737.12726
254	22718.99346
255	22710.82422
256	22699.55949
257	22687.80353
258	22682.16212
259	22675.72282
260	22667.86921
261	22661.4704
262	22661.40952
263	22651.23227
264	22631.20259
265	22622.61446
266	22616.32973
267	22597.47203
268	22593.02892
269	22583.78003
270	22567.57342
271	22558.36477
272	22551.88069
273	22545.87674
274	22540.29178
275	22538.20631
276	22522.00568
277	22518.58108
278	22509.11339
279	22504.59412
280	22496.09212
281	22481.40634
282	22473.30327
283	22469.40041
284	22454.40778
285	22440.82276
286	22433.30447
287	22419.67788
288	22417.175
289	22414.36718
290	22400.11394
291	22394.40132
292	22387.50325
293	22385.07092
294	22379.3165
295	22376.12477
296	22368.20839
297	22365.35671
298	22356.19271
299	22354.34788
300	22347.53456
301	22340.72443
302	22331.73835
303	22320.03489
304	22315.86345
305	22301.62954
306	22293.93195
307	22284.89129
308	22276.93044
309	22268.23168
310	22255.5028
311	22239.37532
312	22235.44672
313	22227.21019
314	22224.76361
315	22220.1172
316	22215.99031
317	22213.68453
318	22210.73502
319	22206.67817
320	22196.17729
321	22190.29394
322	22179.94683
323	22177.31279
324	22169.49332
325	22159.83119
326	22156.02912
327	22152.16201
328	22145.57177
329	22138.66968
330	22129.90958
331	22127.46488
332	22121.69915
333	22118.01565
334	22112.38453
335	22103.0613
336	22089.76149
337	22087.80358
338	22081.81447
339	22077.46101
340	22073.86709
341	22068.35434
342	22062.06348
343	22060.88788
344	22058.17726
345	22048.35327
346	22046.93943
347	22039.14114
348	22037.28502
349	22030.3052
350	22025.72559
351	22020.17763
352	22015.466
353	22010.31096
354	22007.42298
355	22002.7027
356	21993.42275
357	21983.05184
358	21977.55844
359	21966.08977
360	21961.4584
361	21959.01651
362	21956.50743
363	21953.2379
364	21946.16164
365	21941.50951
366	21937.25554
367	21932.25219
368	21930.07967
369	21923.47767
370	21916.91145
371	21913.3689
372	21909.30671
373	21905.10316
374	21898.08508
375	21894.49733
376	21885.52884
377	21880.34625
378	21870.31408
379	21862.83818
380	21858.51596
381	21852.51849
382	21844.05234
383	21841.11454
384	21839.8546
385	21830.65618
386	21823.01708
387	21819.85288
388	21819.82271
389	21813.93246
390	21807.82486
391	21805.36296
392	21802.07144
393	21796.90538
394	21794.41376
395	21790.18499
396	21788.0362
397	21783.90956
398	21777.58759
399	21774.78793
400	21771.29579
401	21765.65701
402	21762.34887
403	21756.82672
404	21754.77477
405	21753.47561
406	21746.64872
407	21744.10233
408	21737.61873
409	21734.97257
410	21730.0989
411	21728.64666
412	21725.44335
413	21722.08658
414	21715.01927
415	21713.02014
416	21710.72632
417	21708.70438
418	21706.32914
419	21705.19668
420	21703.70181
421	21700.81632
422	21697.79811
423	21692.9837
424	21687.51538
425	21685.52446
426	21680.81214
427	21678.10151
428	21671.99417
429	21669.31012
430	21664.6816
431	21661.02701
432	21659.22765
433	21656.03055
434	21651.06622
435	21646.6596
436	21641.04219
437	21636.40986
438	21631.80396
439	21627.97149
440	21627.00565
441	21624.01796
442	21620.52266
443	21617.86579
444	21614.13671
445	21612.03649
446	21608.40208
447	21605.06495
448	21601.92199
449	21596.58889
450	21594.32319
451	21590.98333
452	21585.74624
453	21583.01346
454	21580.15971
455	21578.18886
456	21575.59536
457	21573.14732
458	21571.00464
459	21564.39696
460	21563.65823
461	21561.82287
462	21557.46729
463	21552.90578
464	21550.34549
465	21545.6498
466	21542.64621
467	21540.83525
468	21535.0028
469	21532.65618
470	21530.03577
471	21527.6809
472	21525.39171
473	21521.26504
474	21518.7608
475	21517.81028
476	21515.81154
477	21514.1306
478	21511.89697
479	21509.51684
480	21505.48002
481	21504.16789
482	21500.64972
483	21500.02002
484	21498.15232
485	21496.74494
486	21494.62861
487	21493.49944
488	21492.24922
489	21491.51266
490	21487.09819
491	21484.59446
492	21482.23864
493	21478.90559
494	21477.22154
495	21475.43289
496	21473.65079
497	21471.39959
498	21470.90437
499	21469.79124
500	21468.3713
501	21463.20209
502	21459.87871
503	21455.92398
504	21454.00508
505	21453.45275
506	21451.06753
507	21448.97638
508	21445.25562
509	21441.69458
510	21440.69863
511	21436.44247
512	21434.26181
513	21431.69463
514	21430.89966
515	21429.17813
516	21427.88898
517	21426.24467
518	21424.85965
519	21422.4877
520	21420.50287
521	21418.52314
522	21414.98634
523	21412.96147
524	21411.19395
525	21410.10934
526	21409.42442
527	21404.51846
528	21401.86868
529	21398.17635
530	21396.87827
531	21395.39962
532	21392.43468
533	21391.25839
534	21386.52505
535	21383.66569
536	21380.70488
537	21379.23774
538	21377.64837
539	21376.70609
540	21372.86791
541	21371.79159
542	21368.53036
543	21366.6227
544	21364.85784
545	21360.50915
546	21359.2171
547	21356.50798
548	21353.47085
549	21351.29492
550	21348.46094
551	21344.77147
552	21342.16112
553	21340.87708
554	21339.21021
555	21338.01603
556	21336.04722
557	21335.03514
558	21332.3159
559	21329.65105
560	21326.77831
561	21324.82093
562	21323.54673
563	21322.11339
564	21319.42602
565	21317.70463
566	21315.03421
567	21313.28188
568	21311.9059
569	21308.98206
570	21306.83867
571	21305.26162
572	21304.39856
573	21303.74069
574	21302.29782
575	21300.82148
576	21298.39318
577	21296.80629
578	21294.57922
579	21291.07386
580	21289.7108
581	21286.24949
582	21285.45252
583	21281.87454
584	21280.88891
585	21279.82064
586	21278.14739
587	21275.25355
588	21273.3333
589	21271.19175
590	21270.01844
591	21266.75723
592	21264.86689
593	21261.9519
594	21259.80905
595	21258.62106
596	21258.02374
597	21256.36143
598	21254.54192
599	21252.53557
600	21251.89568
601	21249.67815
602	21248.31625
603	21246.27513
604	21245.32228
605	21243.22803
606	21242.25817
607	21240.08116
608	21239.15699
609	21237.89202
610	21236.51828
611	21235.40159
612	21232.79195
613	21232.15634
614	21229.29719
615	21228.26571
616	21227.04297
617	21224.85501
618	21222.93978
619	21222.18864
620	21220.63722
621	21220.14719
622	21219.26237
623	21218.15856
624	21217.00234
625	21215.90216
626	21214.50442
627	21212.84421
628	21212.03973
629	21211.35077
630	21208.95581
631	21208.00058
632	21206.85459
633	21206.36916
634	21204.88537
635	21203.23487
636	21202.83154
637	21201.99074
638	21201.45194
639	21200.8148
640	21199.21667
641	21198.34621
642	21195.55928
643	21194.20851
644	21192.6417
645	21191.19466
646	21189.54091
647	21188.87692
648	21187.70592
649	21186.91296
650	21185.3804
651	21182.92821
652	21181.13179
653	21180.30057
654	21178.97026
655	21176.40307
656	21175.76461
657	21175.47647
658	21174.91353
659	21173.91228
660	21173.44402
661	21171.8122
662	21170.73104
663	21168.27144
664	21167.38669
665	21164.73759
666	21163.31352
667	21161.98546
668	21160.17549
669	21158.93705
670	21158.12465
671	21156.88116
672	21156.21674
673	21154.20184
674	21152.92396
675	21152.05754
676	21151.66954
677	21149.63477
678	21149.18696
679	21147.60621
680	21145.79111
681	21143.573
682	21142.90287
683	21141.66887
684	21140.53438
685	21139.58458
686	21138.34111
687	21137.55457
688	21137.0672
689	21135.55519
690	21134.85638
691	21134.64686
692	21133.69187
693	21132.98069
694	21132.07283
695	21130.8201
696	21129.73334
697	21128.59336
698	21127.89722
699	21126.78558
700	21126.55105
701	21124.91105
702	21124.63766
703	21123.56053
704	21122.56672
705	21121.37024
706	21120.26071
707	21119.53491
708	21118.81967
709	21118.57354
710	21117.68432
711	21116.30045
712	21115.45956
713	21114.17099
714	21113.85118
715	21113.25728
716	21112.5949
717	21110.88481
718	21110.06571
719	21108.8104
720	21108.05487
721	21107.56239
722	21106.53848
723	21105.21141
724	21104.69877
725	21104.2272
726	21103.97149
727	21103.68391
728	21102.75222
729	21102.26147
730	21101.10478
731	21099.56621
732	21097.82679
733	21096.1669
734	21094.58925
735	21094.00374
736	21093.68178
737	21093.5721
738	21091.75764
739	21090.02981
740	21089.13439
741	21087.57411
742	21086.82988
743	21085.79403
744	21085.09723
745	21084.47942
746	21083.63164
747	21082.67469
748	21081.79376
749	21080.92505
750	21079.99341
751	21079.05631
752	21078.67291
753	21077.99987
754	21076.75019
755	21075.86341
756	21075.02403
757	21074.19961
758	21073.85235
759	21072.61688
760	21071.73238
761	21070.72626
762	21069.95778
763	21068.93869
764	21067.31194
765	21066.27508
766	21065.53469
767	21064.76334
768	21064.35929
769	21062.64804
770	21062.07046
771	21061.2043
772	21060.69474
773	21059.86776
774	21059.40754
775	21059.17091
776	21058.63175
777	21058.17543
778	21057.55486
779	21056.6602
780	21055.60228
781	21054.73514
782	21053.95464
783	21053.14369
784	21052.86595
785	21052.3753
786	21051.26987
787	21050.42717
788	21049.53296
789	21048.75354
790	21048.16457
791	21046.37745
792	21045.52009
793	21044.47373
794	21043.9145
795	21043.12436
796	21042.58764
797	21041.10103
798	21039.98789
799	21039.53427
800	21039.3519
801	21038.45598
802	21037.8043
803	21036.18364
804	21035.43553
805	21034.42257
806	21034.34237
807	21033.69622
808	21032.96205
809	21031.44301
810	21030.62103
811	21029.17359
812	21028.14992
813	21027.82002
814	21026.98102
815	21026.15419
816	21025.8894
817	21025.3578
818	21024.98863
819	21024.18732
820	21023.8306
821	21022.314
822	21021.41597
823	21020.48166
824	21020.16722
825	21019.86472
826	21019.16755
827	21018.68251
828	21017.92582
829	21017.58489
830	21016.81683
831	21015.52633
832	21014.69574
833	21013.89531
834	21013.43934
835	21012.99791
836	21012.23942
837	21011.31655
838	21010.7253
839	21010.41098
840	21009.88791
841	21009.13895
842	21008.90429
843	21007.37326
844	21006.57906
845	21005.48697
846	21005.13558
847	21004.47126
848	21003.92333
849	21003.69325
850	21002.76628
851	21002.19374
852	21001.38448
853	21000.9317
854	20999.74803
855	20999.17517
856	20998.34316
857	20997.77279
858	20997.49338
859	20997.21359
860	20995.77545
861	20995.3365
862	20994.6758
863	20993.77982
864	20992.85142
865	20991.3974
866	20990.94093
867	20989.96776
868	20989.10816
869	20988.77372
870	20987.54924
871	20986.87167
872	20986.20542
873	20985.82039
874	20985.21273
875	20984.42613
876	20983.90158
877	20983.33505
878	20982.66288
879	20981.35975
880	20980.86161
881	20980.64166
882	20979.91095
883	20978.94024
884	20978.69297
885	20977.96859
886	20977.03752
887	20976.15076
888	20975.41294
889	20974.74969
890	20974.19014
891	20973.23442
892	20971.88242
893	20971.67147
894	20971.08067
895	20970.46253
896	20969.7974
897	20969.16856
898	20968.53737
899	20968.11523
900	20967.49219
901	20966.88253
902	20966.03997
903	20965.43858
904	20964.66547
905	20963.90059
906	20963.6407
907	20963.05034
908	20962.36107
909	20961.98376
910	20960.92918
911	20960.31743
912	20959.40407
913	20958.70753
914	20958.37009
915	20957.92375
916	20957.2355
917	20956.83248
918	20955.82612
919	20955.4435
920	20954.57395
921	20954.14044
922	20953.63396
923	20953.07077
924	20952.50525
925	20952.16958
926	20951.07486
927	20950.01704
928	20949.84289
929	20948.83248
930	20947.97188
931	20947.50823
932	20947.01087
933	20946.77927
934	20946.5168
935	20946.20931
936	20945.25509
937	20944.93574
938	20943.7915
939	20943.40068
940	20942.63323
941	20942.23998
942	20942.06889
943	20941.44388
944	20940.96186
945	20940.44978
946	20940.21167
947	20939.78658
948	20939.4214
949	20938.77522
950	20938.32789
951	20937.82265
952	20937.37612
953	20936.77529
954	20936.37941
955	20935.96248
956	20935.76861
957	20935.32932
958	20934.59855
959	20933.57635
960	20932.60832
961	20931.8245
962	20931.18593
963	20930.47395
964	20929.97511
965	20929.66667
966	20929.13115
967	20928.59203
968	20928.16231
969	20927.94616
970	20927.48257
971	20927.3292
972	20926.69504
973	20926.06411
974	20925.92334
975	20925.77719
976	20925.7177
977	20924.97748
978	20924.32359
979	20924.11289
980	20923.63619
981	20922.96044
982	20922.73849
983	20922.41373
984	20922.28199
985	20921.70022
986	20921.20209
987	20920.83626
988	20920.64061
989	20920.15156
990	20920.01198
991	20919.57509
992	20919.21888
993	20918.45571
994	20918.28053
995	20918.02481
996	20917.55066
997	20916.97447
998	20916.88468
999	20916.49874
